Hour,Minute,Second,Microsecond,IR1,
11,10,6,695411,28460,6.70
11,10,6,703235,28464,6.70
11,10,6,715241,28461,6.72
11,10,6,724394,28465,6.72
11,10,6,736197,28463,6.74
11,10,6,748211,28457,6.75
11,10,6,756205,28450,6.76
11,10,6,769296,28442,6.77
11,10,6,777202,28453,6.78
11,10,6,789381,28449,6.79
11,10,6,797276,28450,6.80
11,10,6,810286,28458,6.81
11,10,6,822296,28450,6.82
11,10,6,830403,28454,6.83
11,10,6,842477,28451,6.84
11,10,6,851285,28453,6.85
11,10,6,863373,28453,6.86
11,10,6,871472,28441,6.87
11,10,6,883230,28435,6.88
11,10,6,896158,28441,6.90
11,10,6,904413,28446,6.90
11,10,6,916410,28442,6.92
11,10,6,924325,28440,6.92
11,10,6,937408,28435,6.94
11,10,6,945401,28430,6.95
11,10,6,957397,28445,6.96
11,10,6,969292,28431,6.97
11,10,6,978268,28425,6.98
11,10,6,990397,28431,6.99
11,10,6,998287,28424,7.00
11,10,7,10276,28423,7.01
11,10,7,19372,28423,7.02
11,10,7,31401,28427,7.03
11,10,7,43435,28424,7.04
11,10,7,51276,28424,7.05
11,10,7,64274,28420,7.06
11,10,7,72427,28428,7.07
11,10,7,84321,28425,7.08
11,10,7,92285,28431,7.09
11,10,7,105387,28426,7.11
11,10,7,117307,28438,7.12
11,10,7,125308,28433,7.13
11,10,7,137356,28435,7.14
11,10,7,146396,28433,7.15
11,10,7,158399,28434,7.16
11,10,7,166255,28440,7.17
11,10,7,178605,28431,7.18
11,10,7,191316,28435,7.19
11,10,7,199396,28435,7.20
11,10,7,211375,28438,7.21
11,10,7,219252,28431,7.22
11,10,7,232333,28438,7.23
11,10,7,240396,28434,7.24
11,10,7,252414,28434,7.25
11,10,7,264245,28437,7.26
11,10,7,272444,28442,7.27
11,10,7,285415,28436,7.29
11,10,7,293405,28429,7.29
11,10,7,305194,28439,7.31
11,10,7,313647,28443,7.31
11,10,7,326389,28438,7.33
11,10,7,338208,28435,7.34
11,10,7,346284,28435,7.35
11,10,7,358223,28439,7.36
11,10,7,367610,28439,7.37
11,10,7,379359,28438,7.38
