Hour,Minute,Second,Microsecond,IR1
11,44,11,447950,38330.0
11,44,11,459964,38292.0
11,44,11,467863,38237.0
11,44,11,481040,38206.0
11,44,11,488956,38178.0
11,44,11,500966,38205.0
11,44,11,509091,38268.0
11,44,11,522005,38308.0
11,44,11,533789,38303.0
11,44,11,541895,38265.0
11,44,11,554036,38229.0
11,44,11,562874,38181.0
11,44,11,574948,38106.0
11,44,11,582919,37994.0
11,44,11,594954,37956.0
11,44,11,607965,37920.0
11,44,11,616079,37894.0
11,44,11,627841,37891.0
11,44,11,636224,37880.0
11,44,11,648886,37849.0
11,44,11,656834,37824.0
11,44,11,668954,37806.0
11,44,11,680961,37780.0
11,44,11,689888,37753.0
11,44,11,701907,37736.0
11,44,11,709965,37730.0
11,44,11,721935,37704.0
11,44,11,730086,37683.0
11,44,11,742971,37662.0
11,44,11,754963,37649.0
11,44,11,762907,37639.0
11,44,11,775860,37617.0
11,44,11,783868,37614.0
11,44,11,795939,37604.0
11,44,11,803974,37582.0
11,44,11,815962,37580.0
11,44,11,828753,37574.0
11,44,11,836955,37544.0
11,44,11,848911,37549.0
11,44,11,856862,37560.0
11,44,11,869837,37531.0
11,44,11,877924,37527.0
11,44,11,890098,37519.0
11,44,11,901897,37517.0
11,44,11,910921,37529.0
11,44,11,923078,37517.0
11,44,11,930957,37513.0
11,44,11,942911,37521.0
11,44,11,951932,37515.0
11,44,11,964065,37515.0
11,44,11,975765,37521.0
11,44,11,983904,37523.0
11,44,11,996959,37509.0
11,44,12,4891,37521.0
11,44,12,17091,37495.0
11,44,12,25092,37492.0
11,44,12,37991,37481.0
11,44,12,49938,37465.0
11,44,12,57929,37459.0
11,44,12,70054,37465.0
11,44,12,78918,37513.0
11,44,12,90959,37550.0
11,44,12,98951,37547.0
11,44,12,110930,37552.0
11,44,12,123839,37534.0
11,44,12,132098,37540.0
11,44,12,143965,37540.0
11,44,12,151980,37554.0
11,44,12,165064,37553.0
11,44,12,172872,37578.0
11,44,12,184941,37583.0
11,44,12,196905,37581.0
11,44,12,205988,37549.0
11,44,12,217988,37564.0
11,44,12,226076,37548.0
11,44,12,237927,37479.0
11,44,12,247064,37447.0
11,44,12,259080,37514.0
11,44,12,270896,37654.0
11,44,12,278836,37746.0
11,44,12,292082,37806.0
11,44,12,299862,37881.0
11,44,12,312078,37992.0
11,44,12,319924,37923.0
11,44,12,333067,37950.0
11,44,12,344815,38017.0
11,44,12,352939,38058.0
11,44,12,365109,38075.0
11,44,12,373828,38087.0
11,44,12,385941,38100.0
11,44,12,397890,38105.0
11,44,12,405890,38085.0
11,44,12,418958,38084.0
11,44,12,426957,38085.0
11,44,12,438970,38103.0
11,44,12,446918,38097.0
11,44,12,459973,38088.0
11,44,12,471712,38104.0
11,44,12,479820,38111.0
11,44,12,491946,38106.0
11,44,12,500872,38112.0
11,44,12,512942,38110.0
11,44,12,520867,38110.0
11,44,12,533050,38120.0
11,44,12,545795,38134.0
11,44,12,553976,38121.0
11,44,12,565963,38111.0
11,44,12,574084,38108.0
11,44,12,586908,38127.0
11,44,12,594833,38179.0
11,44,12,606953,38232.0
11,44,12,618852,38285.0
11,44,12,626876,38287.0
11,44,12,639982,38293.0
11,44,12,647886,38300.0
11,44,12,659919,38302.0
11,44,12,667874,38305.0
11,44,12,680822,38292.0
11,44,12,692858,38294.0
11,44,12,700884,38307.0
11,44,12,713032,38310.0
11,44,12,721953,38314.0
11,44,12,733997,38313.0
11,44,12,741910,38305.0
11,44,12,754041,38304.0
11,44,12,766691,38315.0
11,44,12,775044,38306.0
11,44,12,788835,38290.0
11,44,12,794898,38272.0
11,44,12,807860,38274.0
11,44,12,817020,38311.0
11,44,12,827938,38300.0
11,44,12,839809,38257.0
11,44,12,848883,38242.0
11,44,12,860813,38246.0
11,44,12,869025,38239.0
11,44,12,881250,38223.0
11,44,12,889823,38220.0
11,44,12,901983,38214.0
11,44,12,913827,38204.0
11,44,12,921860,38206.0
11,44,12,934854,38212.0
11,44,12,942846,38207.0
11,44,12,954883,38191.0
11,44,12,962891,38185.0
11,44,12,975844,38185.0
11,44,12,987663,38182.0
11,44,12,995828,38172.0
11,44,13,7970,38164.0
11,44,13,16893,38162.0
11,44,13,29041,38158.0
11,44,13,37628,38143.0
11,44,13,48857,38136.0
11,44,13,61807,38128.0
11,44,13,69956,38115.0
11,44,13,81944,38121.0
11,44,13,89807,38123.0
11,44,13,102950,38114.0
11,44,13,110830,38103.0
11,44,13,122914,38097.0
11,44,13,134687,38098.0
11,44,13,143849,38097.0
11,44,13,155981,38089.0
11,44,13,163902,38089.0
11,44,13,175881,38085.0
11,44,13,185190,38072.0
11,44,13,197060,38079.0
11,44,13,208785,38071.0
11,44,13,217014,38070.0
11,44,13,229951,38062.0
11,44,13,238010,38064.0
11,44,13,250024,38030.0
11,44,13,258059,37978.0
11,44,13,271070,37946.0
11,44,13,282812,37933.0
11,44,13,290830,37940.0
11,44,13,302902,37941.0
11,44,13,311834,37926.0
11,44,13,323916,37922.0
11,44,13,331937,37918.0
11,44,13,343893,37912.0
11,44,13,355887,37890.0
11,44,13,364986,37831.0
11,44,13,376840,37736.0
11,44,13,385042,37668.0
11,44,13,397858,37643.0
11,44,13,405779,37636.0
11,44,13,417921,37677.0
11,44,13,429908,37773.0
11,44,13,438027,37805.0
11,44,13,450979,37863.0
11,44,13,459190,37922.0
11,44,13,471049,37952.0
11,44,13,478875,37957.0
11,44,13,491793,37964.0
11,44,13,503859,37988.0
11,44,13,512044,37999.0
11,44,13,523951,38004.0
11,44,13,532903,37996.0
11,44,13,544920,37996.0
11,44,13,553038,37987.0
11,44,13,565026,37986.0
11,44,13,577780,37981.0
11,44,13,585860,37992.0
11,44,13,597819,37991.0
11,44,13,605904,37995.0
11,44,13,618966,37988.0
11,44,13,626834,37989.0
11,44,13,638948,37997.0
11,44,13,650905,38008.0
11,44,13,659904,38011.0
11,44,13,671862,37997.0
11,44,13,679855,38014.0
11,44,13,691814,38009.0
11,44,13,700860,38019.0
11,44,13,713046,38028.0
11,44,13,724672,38014.0
11,44,13,732897,38030.0
11,44,13,745805,38037.0
11,44,13,754036,38049.0
11,44,13,766036,38046.0
11,44,13,773871,38034.0
11,44,13,786959,38042.0
11,44,13,798745,38041.0
11,44,13,807016,38043.0
11,44,13,818801,38045.0
11,44,13,828211,38047.0
11,44,13,839939,38051.0
11,44,13,848040,38055.0
11,44,13,859856,38042.0
11,44,13,872884,38038.0
11,44,13,880872,38014.0
11,44,13,893052,37929.0
11,44,13,900837,38153.0
11,44,13,913934,38423.0
11,44,13,921820,38590.0
11,44,13,933820,38751.0
11,44,13,945888,38939.0
11,44,13,955034,39127.0
11,44,13,966831,39240.0
11,44,13,975026,39294.0
11,44,13,987289,39339.0
11,44,13,994793,39375.0
11,44,14,7851,39410.0
11,44,14,19709,39466.0
11,44,14,27836,39488.0
11,44,14,40853,39507.0
11,44,14,48832,39538.0
11,44,14,61042,39547.0
11,44,14,69754,39544.0
11,44,14,81103,39558.0
11,44,14,93784,39570.0
11,44,14,101855,39575.0
11,44,14,114010,39577.0
11,44,14,121809,39578.0
11,44,14,135038,39583.0
11,44,14,142857,39576.0
11,44,14,155045,39580.0
11,44,14,167850,39585.0
11,44,14,176011,39577.0
11,44,14,187973,39571.0
11,44,14,195837,39568.0
11,44,14,207914,39571.0
11,44,14,217035,39580.0
11,44,14,228902,39580.0
11,44,14,240860,39575.0
