Hour,Minute,Second,Microsecond,IR1,2 blinks
17,38,49,262423,36907,49.3
17,38,49,274454,36827,49.3
17,38,49,283230,36762,49.3
17,38,49,295420,36821,49.3
17,38,49,307298,36679,49.3
17,38,49,315252,36804,49.3
17,38,49,328319,36941,49.3
17,38,49,336301,37053,49.3
17,38,49,348593,37126,49.3
17,38,49,356414,37137,49.4
17,38,49,369255,37120,49.4
17,38,49,381150,37121,49.4
17,38,49,389279,37088,49.4
17,38,49,402439,37038,49.4
17,38,49,409207,36980,49.4
17,38,49,422304,36937,49.4
17,38,49,430269,36920,49.4
17,38,49,442296,36915,49.4
17,38,49,455105,36881,49.5
17,38,49,463165,36864,49.5
17,38,49,475186,36873,49.5
17,38,49,483309,36901,49.5
17,38,49,495215,36890,49.5
17,38,49,504274,36880,49.5
17,38,49,516230,36888,49.5
17,38,49,528214,36756,49.5
17,38,49,536188,36640,49.5
17,38,49,549632,36574,49.5
17,38,49,557188,36613,49.6
17,38,49,569317,36716,49.6
17,38,49,577224,36735,49.6
17,38,49,590196,36812,49.6
17,38,49,602326,36847,49.6
17,38,49,610408,36832,49.6
17,38,49,622415,36784,49.6
17,38,49,631286,36778,49.6
17,38,49,643280,36770,49.6
17,38,49,651208,36780,49.7
17,38,49,663423,36776,49.7
17,38,49,676334,36739,49.7
17,38,49,684413,36768,49.7
17,38,49,696314,36752,49.7
17,38,49,704426,36763,49.7
17,38,49,717243,36808,49.7
17,38,49,725400,36871,49.7
17,38,49,737278,36912,49.7
17,38,49,749334,36899,49.7
17,38,49,758529,36884,49.8
17,38,49,770395,36852,49.8
17,38,49,778222,36827,49.8
17,38,49,790393,36817,49.8
17,38,49,799195,36823,49.8
17,38,49,811285,36843,49.8
17,38,49,823309,36849,49.8
17,38,49,831244,36864,49.8
17,38,49,844307,36864,49.8
17,38,49,852537,36844,49.9
17,38,49,864401,36770,49.9
17,38,49,872232,36490,49.9
17,38,49,885394,35843,49.9
17,38,49,897238,35208,49.9
17,38,49,905196,35313,49.9
17,38,49,917309,36438,49.9
17,38,49,926201,36681,49.9
17,38,49,938417,36528,49.9
17,38,49,950115,36104,50.0
17,38,49,958192,35677,50.0
17,38,49,971311,35502,50.0
17,38,49,979230,35504,50.0
17,38,49,991392,35517,50.0
17,38,49,999308,35516,50.0
17,38,50,12400,35594,50.0
17,38,50,24107,35778,50.0
17,38,50,32200,35983,50.0
17,38,50,44218,36146,50.0
17,38,50,53240,36293,50.1
17,38,50,65395,36489,50.1
17,38,50,73227,36635,50.1
17,38,50,85242,36731,50.1
17,38,50,98199,36833,50.1
17,38,50,106249,36955,50.1
17,38,50,118299,37127,50.1
17,38,50,126403,37340,50.1
17,38,50,139392,37455,50.1
17,38,50,147389,37508,50.1
17,38,50,159254,37528,50.2
17,38,50,171144,37401,50.2
17,38,50,179502,37195,50.2
17,38,50,192291,37240,50.2
17,38,50,200178,37332,50.2
17,38,50,212409,37444,50.2
17,38,50,221210,37509,50.2
17,38,50,233285,37567,50.2
17,38,50,245073,37594,50.2
17,38,50,253162,37633,50.3
17,38,50,266296,37685,50.3
17,38,50,274235,37729,50.3
17,38,50,286396,37783,50.3
17,38,50,294240,37830,50.3
17,38,50,306302,37870,50.3
17,38,50,319091,37924,50.3
17,38,50,327236,37951,50.3
17,38,50,339289,37976,50.3
17,38,50,347497,37984,50.3
17,38,50,360394,38010,50.4
17,38,50,368398,38033,50.4
17,38,50,380384,38022,50.4
17,38,50,392186,38026,50.4
17,38,50,401396,38028,50.4
17,38,50,413291,38025,50.4
17,38,50,421402,38024,50.4
17,38,50,433400,38016,50.4
17,38,50,442419,38001,50.4
17,38,50,454410,37989,50.5
17,38,50,466125,37994,50.5
17,38,50,474351,37974,50.5
17,38,50,487339,37949,50.5
17,38,50,495235,37852,50.5
17,38,50,507431,37816,50.5
17,38,50,515263,37620,50.5
17,38,50,528248,37434,50.5
17,38,50,540244,37267,50.5
17,38,50,548234,36955,50.5
17,38,50,560534,36616,50.6
17,38,50,569242,36436,50.6
17,38,50,581404,36301,50.6
17,38,50,589190,36064,50.6
17,38,50,601401,35901,50.6
17,38,50,614190,35746,50.6
17,38,50,622379,35751,50.6
17,38,50,634186,35674,50.6
17,38,50,642444,35696,50.6
17,38,50,655186,35823,50.7
17,38,50,663565,35998,50.7
17,38,50,675167,36039,50.7
17,38,50,687063,36017,50.7
17,38,50,696156,36056,50.7
17,38,50,708120,36085,50.7
17,38,50,716209,36161,50.7
17,38,50,728198,36202,50.7
17,38,50,737647,36198,50.7
17,38,50,749205,36180,50.7
17,38,50,761077,36116,50.8
17,38,50,769253,36052,50.8
17,38,50,782152,36066,50.8
17,38,50,790354,36061,50.8
17,38,50,802374,36050,50.8
17,38,50,810189,36050,50.8
17,38,50,823249,36064,50.8
17,38,50,835227,36065,50.8
17,38,50,843207,36082,50.8
17,38,50,855303,36086,50.9
17,38,50,864378,36082,50.9
17,38,50,876211,36075,50.9
17,38,50,884360,36048,50.9
17,38,50,896208,35992,50.9
17,38,50,909226,35965,50.9
17,38,50,917190,35949,50.9
17,38,50,929205,35971,50.9
17,38,50,937380,35928,50.9
17,38,50,950314,35933,51.0
17,38,50,958230,35893,51.0
17,38,50,970261,35860,51.0
17,38,50,982116,35829,51.0
17,38,50,990367,35840,51.0
17,38,51,3327,35891,51.0
17,38,51,11177,35864,51.0
17,38,51,23261,35839,51.0
17,38,51,31205,35823,51.0
17,38,51,44386,35851,51.0
17,38,51,56222,35846,51.1
17,38,51,64347,35828,51.1
17,38,51,77188,35813,51.1
17,38,51,85369,35804,51.1
17,38,51,97238,35786,51.1
17,38,51,105163,35778,51.1
17,38,51,117215,35754,51.1
17,38,51,130219,35758,51.1
17,38,51,138372,35790,51.1
17,38,51,150377,35791,51.2
17,38,51,158202,35800,51.2
17,38,51,171248,35818,51.2
17,38,51,179306,35817,51.2
17,38,51,191205,35775,51.2
17,38,51,203225,35738,51.2
17,38,51,212137,35724,51.2
17,38,51,224259,35735,51.2
17,38,51,232241,35745,51.2
17,38,51,244340,35780,51.2
17,38,51,253346,35787,51.3
17,38,51,265237,35772,51.3
17,38,51,277166,35787,51.3
17,38,51,285366,35745,51.3
17,38,51,298330,35735,51.3
17,38,51,306213,35724,51.3
17,38,51,318374,35700,51.3
17,38,51,326231,35685,51.3
17,38,51,339369,35685,51.3
17,38,51,351151,35700,51.4
17,38,51,359224,35686,51.4
17,38,51,371342,35702,51.4
17,38,51,380205,35692,51.4
17,38,51,392287,35697,51.4
17,38,51,400217,35690,51.4
17,38,51,412379,35699,51.4
17,38,51,425248,35692,51.4
17,38,51,433309,35667,51.4
17,38,51,445338,35677,51.4
17,38,51,453377,35645,51.5
17,38,51,466379,35639,51.5
17,38,51,474210,35677,51.5
17,38,51,486378,35686,51.5
17,38,51,498247,35689,51.5
17,38,51,507208,35653,51.5
17,38,51,519312,35633,51.5
17,38,51,527381,35633,51.5
17,38,51,539378,35647,51.5
17,38,51,548198,35628,51.5
17,38,51,560373,35632,51.6
17,38,51,572289,35611,51.6
17,38,51,580185,35614,51.6
17,38,51,593126,35616,51.6
17,38,51,601364,35631,51.6
17,38,51,613376,35640,51.6
17,38,51,621205,35656,51.6
17,38,51,634275,35643,51.6
17,38,51,646252,35612,51.6
17,38,51,654368,35595,51.7
17,38,51,666337,35586,51.7
17,38,51,674133,35575,51.7
17,38,51,687374,35562,51.7
17,38,51,695210,35566,51.7
17,38,51,707158,35585,51.7
17,38,51,720181,35604,51.7
17,38,51,728206,35618,51.7
17,38,51,740349,35586,51.7
17,38,51,748191,35605,51.7
17,38,51,761379,35606,51.8
17,38,51,769215,35601,51.8
17,38,51,781311,35600,51.8
17,38,51,793137,35608,51.8
17,38,51,801312,35576,51.8
17,38,51,814184,35582,51.8
17,38,51,822346,35586,51.8
17,38,51,834391,35541,51.8
17,38,51,842433,35499,51.8
17,38,51,855833,35476,51.9
17,38,51,867164,35444,51.9
17,38,51,875248,35443,51.9
17,38,51,887202,35451,51.9
17,38,51,896129,35466,51.9
17,38,51,908147,35535,51.9
17,38,51,916094,35561,51.9
17,38,51,928150,35601,51.9
17,38,51,941036,35624,51.9
17,38,51,949111,35588,51.9
17,38,51,961174,35563,52.0
17,38,51,969316,35551,52.0
17,38,51,982169,35544,52.0
17,38,51,991011,35563,52.0
17,38,52,2156,35593,52.0
17,38,52,14030,35644,52.0
17,38,52,23207,35684,52.0
17,38,52,35223,35705,52.0
17,38,52,43167,35691,52.0
17,38,52,55344,35659,52.1
17,38,52,64196,35647,52.1
17,38,52,76358,35653,52.1
17,38,52,88169,35648,52.1
17,38,52,96195,35645,52.1
17,38,52,109354,35662,52.1
17,38,52,117187,35651,52.1
17,38,52,129353,35657,52.1
17,38,52,137211,35633,52.1
17,38,52,150408,35597,52.2
17,38,52,162224,35573,52.2
17,38,52,170243,35564,52.2
17,38,52,182328,35582,52.2
17,38,52,191231,35581,52.2
17,38,52,203221,35595,52.2
17,38,52,211310,35609,52.2
17,38,52,223207,35633,52.2
17,38,52,236252,35604,52.2
17,38,52,244193,35526,52.2
17,38,52,256353,35412,52.3
17,38,52,264351,35429,52.3
17,38,52,277342,35448,52.3
17,38,52,285323,35436,52.3
17,38,52,297280,35480,52.3
17,38,52,309111,35497,52.3
17,38,52,318116,35549,52.3
17,38,52,330122,35583,52.3
17,38,52,338154,35630,52.3
17,38,52,350220,35639,52.4
17,38,52,359340,35625,52.4
17,38,52,371166,35586,52.4
17,38,52,383236,35583,52.4
17,38,52,391270,35574,52.4
17,38,52,404385,35568,52.4
17,38,52,412218,35556,52.4
17,38,52,424230,35567,52.4
17,38,52,436127,35565,52.4
17,38,52,445229,35545,52.4
17,38,52,457235,35532,52.5
17,38,52,465173,35509,52.5
17,38,52,477344,35422,52.5
17,38,52,486161,35413,52.5
17,38,52,498224,35435,52.5
17,38,52,510124,35447,52.5
17,38,52,518151,35459,52.5
17,38,52,531232,35439,52.5
17,38,52,539322,35463,52.5
17,38,52,551154,35468,52.6
17,38,52,559324,35477,52.6
17,38,52,572502,35425,52.6
17,38,52,584043,35375,52.6
17,38,52,592162,35420,52.6
17,38,52,604256,35456,52.6
17,38,52,612316,35476,52.6
17,38,52,625234,35465,52.6
17,38,52,633327,35485,52.6
17,38,52,645172,35495,52.6
17,38,52,657137,35502,52.7
17,38,52,666331,35523,52.7
17,38,52,678349,35534,52.7
17,38,52,686174,35500,52.7
17,38,52,699244,35493,52.7
17,38,52,707325,35474,52.7
17,38,52,719343,35464,52.7
17,38,52,731119,35463,52.7
17,38,52,739154,35478,52.7
17,38,52,752138,35466,52.8
17,38,52,760235,35439,52.8
17,38,52,772334,35431,52.8
17,38,52,780157,35443,52.8
17,38,52,793139,35439,52.8
17,38,52,805130,35428,52.8
17,38,52,813334,35423,52.8
17,38,52,825231,35419,52.8
17,38,52,834181,35415,52.8
17,38,52,846335,35393,52.8
17,38,52,854180,35381,52.9
17,38,52,866335,35364,52.9
17,38,52,879127,35363,52.9
17,38,52,887334,35367,52.9
17,38,52,899217,35355,52.9
17,38,52,907216,35366,52.9
17,38,52,920338,35379,52.9
17,38,52,928158,35364,52.9
17,38,52,940089,35358,52.9
17,38,52,952018,35353,53.0
17,38,52,961219,35367,53.0
17,38,52,973203,35349,53.0
17,38,52,981333,35353,53.0
17,38,52,993174,35357,53.0
17,38,53,2361,35369,53.0
17,38,53,14203,35368,53.0
17,38,53,26112,35367,53.0
17,38,53,34332,35371,53.0
17,38,53,47038,35366,53.0
17,38,53,55195,35352,53.1
17,38,53,67330,35304,53.1
17,38,53,75156,35233,53.1
17,38,53,88226,35308,53.1
17,38,53,100016,35450,53.1
17,38,53,108252,35602,53.1
17,38,53,120166,35719,53.1
17,38,53,129324,35814,53.1
17,38,53,141176,35918,53.1
17,38,53,149173,36028,53.1
17,38,53,161237,36083,53.2
17,38,53,174051,36140,53.2
17,38,53,182369,36190,53.2
17,38,53,194293,36232,53.2
17,38,53,202153,36289,53.2
17,38,53,215327,36382,53.2
17,38,53,223103,36578,53.2
17,38,53,235102,36791,53.2
17,38,53,247032,37061,53.2
17,38,53,256094,37195,53.3
17,38,53,268123,37279,53.3
17,38,53,276339,37369,53.3
17,38,53,288328,37455,53.3
17,38,53,296161,37608,53.3
17,38,53,309232,37828,53.3
17,38,53,321124,38010,53.3
17,38,53,329160,38145,53.3
17,38,53,341260,38232,53.3
17,38,53,350154,38295,53.4
17,38,53,362232,38356,53.4
17,38,53,370318,38404,53.4
17,38,53,382324,38456,53.4
17,38,53,395131,38483,53.4
17,38,53,403148,38506,53.4
17,38,53,415138,38514,53.4
17,38,53,423333,38521,53.4
17,38,53,436210,38517,53.4
17,38,53,444337,38514,53.4
17,38,53,456220,38519,53.5
17,38,53,468049,38525,53.5
17,38,53,477332,38517,53.5
17,38,53,489236,38520,53.5
17,38,53,497096,38522,53.5
17,38,53,509333,38531,53.5
17,38,53,518279,38531,53.5
17,38,53,530333,38535,53.5
17,38,53,542170,38523,53.5
17,38,53,550288,38509,53.6
17,38,53,563098,38526,53.6
17,38,53,571083,38518,53.6
17,38,53,583092,38503,53.6
17,38,53,591102,38509,53.6
17,38,53,604133,38503,53.6
17,38,53,616025,38497,53.6
17,38,53,624132,38500,53.6
17,38,53,636112,38485,53.6
17,38,53,645147,38480,53.6
17,38,53,657123,38478,53.7
17,38,53,665380,38484,53.7
17,38,53,677212,38477,53.7
17,38,53,690018,38468,53.7
17,38,53,698185,38467,53.7
17,38,53,710266,38451,53.7
17,38,53,718231,38437,53.7
17,38,53,731277,38434,53.7
17,38,53,739165,38424,53.7
17,38,53,751103,38405,53.8
17,38,53,763175,38406,53.8
17,38,53,772077,38395,53.8
17,38,53,784199,38389,53.8
17,38,53,792133,38379,53.8
17,38,53,804315,38371,53.8
17,38,53,813145,38364,53.8
17,38,53,825318,38358,53.8
17,38,53,837093,38339,53.8
17,38,53,845250,38331,53.8
17,38,53,858244,38330,53.9
17,38,53,866332,38308,53.9
17,38,53,878312,38299,53.9
17,38,53,886113,38306,53.9
17,38,53,899320,38302,53.9
17,38,53,911053,38296,53.9
17,38,53,919181,38282,53.9
17,38,53,931242,38269,53.9
17,38,53,940294,38256,53.9
17,38,53,952301,38233,54.0
17,38,53,960104,38182,54.0
17,38,53,972273,38151,54.0
17,38,53,985119,38155,54.0
17,38,53,993091,38158,54.0
17,38,54,5188,38151,54.0
17,38,54,13313,38075,54.0
17,38,54,26198,38125,54.0
17,38,54,34165,38098,54.0
17,38,54,46309,38068,54.0
17,38,54,58150,38020,54.1
17,38,54,66300,37948,54.1
17,38,54,79240,37807,54.1
17,38,54,87085,37795,54.1
17,38,54,99314,37769,54.1
17,38,54,107141,37785,54.1
17,38,54,120213,37806,54.1
17,38,54,132169,37818,54.1
17,38,54,140209,37764,54.1
17,38,54,152283,37636,54.2
17,38,54,161123,37516,54.2
17,38,54,173285,37402,54.2
17,38,54,181243,37226,54.2
17,38,54,193299,36988,54.2
17,38,54,206060,36656,54.2
17,38,54,214188,36239,54.2
17,38,54,226255,35769,54.2
17,38,54,234133,35303,54.2
17,38,54,247315,35033,54.2
17,38,54,255149,34957,54.3
17,38,54,267082,34947,54.3
17,38,54,279086,35012,54.3
17,38,54,288218,35186,54.3
17,38,54,300108,35425,54.3
17,38,54,308092,35647,54.3
17,38,54,320315,35831,54.3
17,38,54,329397,36001,54.3
17,38,54,341311,36156,54.3
17,38,54,353089,36301,54.4
17,38,54,361302,36435,54.4
17,38,54,374272,36550,54.4
17,38,54,382226,36656,54.4
17,38,54,394115,36755,54.4
17,38,54,402308,36842,54.4
17,38,54,415308,36905,54.4
17,38,54,427291,36943,54.4
17,38,54,435157,36970,54.4
17,38,54,447277,37000,54.4
17,38,54,456144,37024,54.5
17,38,54,468197,37053,54.5
17,38,54,476477,37093,54.5
17,38,54,488169,37117,54.5
17,38,54,501039,37124,54.5
17,38,54,509074,37129,54.5
17,38,54,521283,37127,54.5
17,38,54,529302,37123,54.5
17,38,54,542221,37127,54.5
17,38,54,550137,37132,54.6
17,38,54,562314,37128,54.6
17,38,54,574178,37124,54.6
17,38,54,583130,37119,54.6
17,38,54,595283,37084,54.6
17,38,54,603101,37025,54.6
17,38,54,615309,36970,54.6
17,38,54,624165,36974,54.6
17,38,54,636309,37113,54.6
17,38,54,648174,37334,54.6
17,38,54,656310,37476,54.7
17,38,54,669286,37499,54.7
17,38,54,677305,37488,54.7
17,38,54,689210,37470,54.7
17,38,54,697298,37440,54.7
17,38,54,710210,37416,54.7
17,38,54,722131,37380,54.7
17,38,54,730291,37328,54.7
17,38,54,742097,37284,54.7
17,38,54,750356,37271,54.8
17,38,54,763302,37282,54.8
17,38,54,771132,37276,54.8
17,38,54,783071,37210,54.8
17,38,54,796150,37227,54.8
17,38,54,804052,37373,54.8
17,38,54,816085,37529,54.8
17,38,54,824133,37690,54.8
17,38,54,837188,37816,54.8
17,38,54,845090,37903,54.8
17,38,54,857292,37962,54.9
17,38,54,869121,37977,54.9
17,38,54,877105,37955,54.9
17,38,54,890456,37926,54.9
17,38,54,898436,37909,54.9
17,38,54,910148,37882,54.9
17,38,54,918141,37863,54.9
17,38,54,931204,37854,54.9
17,38,54,943064,37835,54.9
17,38,54,951292,37804,55.0
17,38,54,963284,37771,55.0
17,38,54,972067,37740,55.0
17,38,54,984299,37713,55.0
17,38,54,992209,37697,55.0
17,38,55,4129,37681,55.0
17,38,55,17036,37662,55.0
17,38,55,25158,37649,55.0
17,38,55,37116,37639,55.0
17,38,55,45082,37626,55.0
17,38,55,58301,37622,55.1
17,38,55,66286,37612,55.1
17,38,55,78283,37582,55.1
17,38,55,90166,37560,55.1
17,38,55,99155,37548,55.1
17,38,55,111092,37541,55.1
17,38,55,119061,37533,55.1
17,38,55,131187,37534,55.1
17,38,55,140288,37553,55.1
17,38,55,152190,37578,55.2
17,38,55,164040,37590,55.2
17,38,55,172055,37576,55.2
17,38,55,185273,37547,55.2
17,38,55,193248,37522,55.2
17,38,55,205164,37519,55.2
17,38,55,213131,37540,55.2
17,38,55,226283,37569,55.2
17,38,55,238198,37672,55.2
17,38,55,246102,37830,55.2
17,38,55,258070,37956,55.3
17,38,55,267062,38049,55.3
17,38,55,279045,38109,55.3
17,38,55,287031,38122,55.3
17,38,55,299543,38102,55.3
17,38,55,311972,38101,55.3
17,38,55,320069,38108,55.3
17,38,55,336250,38101,55.3
17,38,55,340024,38082,55.3
17,38,55,353184,38066,55.4
17,38,55,361221,38054,55.4
17,38,55,373142,38036,55.4
17,38,55,385157,38000,55.4
17,38,55,394102,37962,55.4
17,38,55,406164,37951,55.4
17,38,55,414263,37947,55.4
17,38,55,426269,37915,55.4
17,38,55,435272,37822,55.4
17,38,55,447262,37814,55.4
17,38,55,459181,37807,55.5
17,38,55,467036,37840,55.5
17,38,55,480261,37832,55.5
17,38,55,488284,37824,55.5
17,38,55,500161,37814,55.5
17,38,55,511982,37827,55.5
17,38,55,521125,37843,55.5
17,38,55,533167,37800,55.5
17,38,55,541301,37733,55.5
17,38,55,553049,37655,55.6
17,38,55,561233,37601,55.6
17,38,55,574281,37543,55.6
17,38,55,585973,37477,55.6
17,38,55,594096,37437,55.6
17,38,55,607065,37394,55.6
17,38,55,615263,37366,55.6
17,38,55,627359,37349,55.6
17,38,55,635188,37307,55.6
17,38,55,647100,37292,55.6
17,38,55,660066,37267,55.7
17,38,55,668100,37254,55.7
17,38,55,680208,37244,55.7
17,38,55,688268,37235,55.7
17,38,55,701265,37226,55.7
17,38,55,709113,37226,55.7
17,38,55,721267,37227,55.7
17,38,55,733014,37226,55.7
17,38,55,742121,37237,55.7
17,38,55,754005,37256,55.8
17,38,55,762124,37276,55.8
17,38,55,774260,37279,55.8
17,38,55,783256,37272,55.8
17,38,55,795266,37270,55.8
17,38,55,808753,37260,55.8
17,38,55,815144,37252,55.8
17,38,55,828118,37261,55.8
17,38,55,836076,37264,55.8
17,38,55,848156,37266,55.8
17,38,55,856118,37224,55.9
17,38,55,869269,37043,55.9
17,38,55,880967,36556,55.9
17,38,55,889049,36065,55.9
17,38,55,901190,35666,55.9
17,38,55,910087,35417,55.9
17,38,55,922266,35374,55.9
17,38,55,930073,35412,55.9
17,38,55,942263,35435,55.9
17,38,55,955003,35430,56.0
17,38,55,963150,35435,56.0
17,38,55,975185,35455,56.0
17,38,55,983258,35515,56.0
17,38,55,996274,35593,56.0
17,38,56,4083,35659,56.0
17,38,56,16171,35727,56.0
17,38,56,27956,35785,56.0
17,38,56,37277,35840,56.0
17,38,56,49212,35905,56.0
17,38,56,57263,35986,56.1
17,38,56,69118,36061,56.1
17,38,56,78267,36135,56.1
17,38,56,90261,36204,56.1
17,38,56,102057,36276,56.1
17,38,56,110269,36347,56.1
17,38,56,123173,36437,56.1
17,38,56,131115,36515,56.1
17,38,56,143256,36598,56.1
17,38,56,151254,36653,56.2
17,38,56,164156,36684,56.2
17,38,56,175954,36731,56.2
17,38,56,184253,36779,56.2
17,38,56,196152,36830,56.2
17,38,56,205145,36867,56.2
