Hour,Minute,Second,Microsecond,IR1,,
11,7,9,331145,34271.0,9.3,-664.5070
11,7,9,339085,34256.0,9.3,-1889.1688
11,7,9,352142,34245.0,9.4,-842.4600
11,7,9,364152,34239.0,9.4,-499.5837
11,7,9,372233,34244.0,9.4,618.7353
11,7,9,384256,34239.0,9.4,-415.8696
11,7,9,393125,34238.0,9.4,-112.7523
11,7,9,405167,34239.0,9.4,83.0427
11,7,9,417009,34215.0,9.4,-2026.6847
11,7,9,425255,34227.0,9.4,1455.2510
11,7,9,438089,34231.0,9.4,311.6721
11,7,9,446339,34221.0,9.4,-1212.1212
11,7,9,458268,34210.0,9.5,-922.1226
11,7,9,466098,34195.0,9.5,-1915.7088
11,7,9,478243,34190.0,9.5,-411.6921
11,7,9,490929,34162.0,9.5,-2207.1575
11,7,9,499140,34162.0,9.5,0.0000
11,7,9,511091,34141.0,9.5,-1757.1751
11,7,9,519026,34138.0,9.5,-378.0718
11,7,9,532019,34108.0,9.5,-2308.9356
11,7,9,540384,34102.0,9.5,-717.2744
11,7,9,552240,34106.0,9.6,337.3819
11,7,9,563952,34114.0,9.6,683.0601
11,7,9,573077,34105.0,9.6,-986.3014
11,7,9,585057,34090.0,9.6,-1252.0868
11,7,9,593089,34080.0,9.6,-1245.0199
11,7,9,605135,34086.0,9.6,498.0907
11,7,9,614075,34088.0,9.6,223.7136
11,7,9,626254,34085.0,9.6,-246.3256
11,7,9,637905,34095.0,9.6,858.2954
11,7,9,646123,34090.0,9.6,-608.4205
11,7,9,658997,34083.0,9.7,-543.7316
11,7,9,667088,34082.0,9.7,-123.5941
11,7,9,679240,34071.0,9.7,-905.2008
11,7,9,687082,34071.0,9.7,0.0000
11,7,9,700113,34062.0,9.7,-690.6607
11,7,9,711995,34063.0,9.7,84.1609
11,7,9,720202,34062.0,9.7,-121.8472
11,7,9,732121,34044.0,9.7,-1510.1938
11,7,9,741031,34034.0,9.7,-1122.3345
11,7,9,753109,34032.0,9.8,-165.5903
11,7,9,761238,34029.0,9.8,-369.0491
11,7,9,773102,34010.0,9.8,-1601.4835
11,7,9,786053,33972.0,9.8,-2934.1364
11,7,9,794062,33904.0,9.8,-8490.4482
11,7,9,806216,33786.0,9.8,-9708.7379
11,7,9,814055,33581.0,9.8,-26151.2948
11,7,9,827241,33123.0,9.8,-34733.8086
11,7,9,835235,32483.0,9.8,-80060.0450
11,7,9,847064,31877.0,9.8,-51230.0279
11,7,9,859021,31684.0,9.9,-16141.1725
11,7,9,868219,31786.0,9.9,11089.3673
11,7,9,880041,32042.0,9.9,21654.5424
11,7,9,888027,32270.0,9.9,28549.9624
11,7,9,900101,32500.0,9.9,19049.1966
11,7,9,909094,32780.0,9.9,31135.3275
11,7,9,921141,33058.0,9.9,23076.2846
11,7,9,932984,33336.0,9.9,23473.7820
11,7,9,941252,33618.0,9.9,34107.4020
11,7,9,954161,33809.0,10.0,14795.8788
11,7,9,962071,34023.0,10.0,27054.3616
11,7,9,974257,34176.0,10.0,12555.3914
11,7,9,982366,34283.0,10.0,13195.2152
11,7,9,995249,34389.0,10.0,8227.8972
11,7,10,6954,34485.0,10.0,8201.6232
11,7,10,15126,34559.0,10.0,9055.3108
11,7,10,27179,34616.0,10.0,4729.1131
11,7,10,36410,34669.0,10.0,5741.5231
11,7,10,48095,34707.0,10.0,3252.0325
11,7,10,56062,34737.0,10.1,3765.5328
11,7,10,68108,34757.0,10.1,1660.3022
11,7,10,81037,34785.0,10.1,2165.6741
11,7,10,89235,34814.0,10.1,3537.4482
11,7,10,101090,34820.0,10.1,506.1156
11,7,10,109242,34833.0,10.1,1594.7007
11,7,10,122021,34849.0,10.1,1252.0542
11,7,10,130000,34865.0,10.1,2005.2638
11,7,10,142104,34880.0,10.1,1239.2597
11,7,10,153910,34888.0,10.2,677.6215
11,7,10,163098,34898.0,10.2,1088.3761
11,7,10,175151,34896.0,10.2,-165.9338
11,7,10,183063,34900.0,10.2,505.5612
11,7,10,195236,34907.0,10.2,575.0431
11,7,10,203060,34899.0,10.2,-1022.4949
11,7,10,216308,34896.0,10.2,-226.4493
11,7,10,227951,34906.0,10.2,858.8852
11,7,10,236043,34909.0,10.2,370.7365
11,7,10,248179,34905.0,10.2,-329.5979
11,7,10,257087,34913.0,10.3,898.0692
11,7,10,269136,34919.0,10.3,497.9666
11,7,10,277250,34923.0,10.3,492.9751
11,7,10,289245,34923.0,10.3,0.0000
11,7,10,302079,34920.0,10.3,-233.7541
11,7,10,310115,34927.0,10.3,871.0801
11,7,10,322005,34940.0,10.3,1093.3558
11,7,10,330245,34945.0,10.3,606.7961
11,7,10,343267,34941.0,10.3,-307.1725
11,7,10,351135,34939.0,10.4,-254.1942
11,7,10,363143,34942.0,10.4,249.8334
11,7,10,375082,34942.0,10.4,0.0000
11,7,10,384354,34951.0,10.4,970.6644
11,7,10,396214,34945.0,10.4,-505.9022
11,7,10,404062,34939.0,10.4,-764.5260
11,7,10,416153,34944.0,10.4,413.5307
11,7,10,425032,34943.0,10.4,-112.6253
11,7,10,437100,34936.0,10.4,-580.0464
11,7,10,448992,34941.0,10.4,420.4507
11,7,10,457244,34940.0,10.5,-121.1827
11,7,10,470174,34937.0,10.5,-232.0186
11,7,10,478050,34939.0,10.5,253.9360
11,7,10,490203,34940.0,10.5,82.2842
11,7,10,498198,34954.0,10.5,1751.0944
11,7,10,511350,34950.0,10.5,-304.1363
11,7,10,522964,34947.0,10.5,-258.3089
11,7,10,531217,34945.0,10.5,-242.3361
11,7,10,543145,34946.0,10.5,83.8364
11,7,10,552226,34950.0,10.6,440.4801
11,7,10,564120,34949.0,10.6,-84.0760
11,7,10,572011,34940.0,10.6,-1140.5399
11,7,10,584223,34953.0,10.6,1064.5267
11,7,10,597068,34956.0,10.6,233.5539
11,7,10,605036,34946.0,10.6,-1255.0201
11,7,10,617100,34943.0,10.6,-248.6737
11,7,10,625202,34937.0,10.6,-740.5579
11,7,10,638321,34927.0,10.6,-762.2532
11,7,10,646102,34926.0,10.6,-128.5182
11,7,10,658227,34926.0,10.7,0.0000
11,7,10,669950,34917.0,10.7,-767.7216
11,7,10,679242,34963.0,10.7,4950.4950
11,7,10,691198,34993.0,10.7,2509.2004
11,7,10,699048,35004.0,10.7,1401.2739
11,7,10,711222,35014.0,10.7,821.4227
11,7,10,720086,35022.0,10.7,902.5271
11,7,10,732351,35014.0,10.7,-652.2625
11,7,10,743858,35030.0,10.7,1390.4580
11,7,10,752146,35007.0,10.8,-2775.0965
11,7,10,765304,35034.0,10.8,2051.9836
11,7,10,773070,35028.0,10.8,-772.5985
11,7,10,785055,35038.0,10.8,834.3763
11,7,10,793111,35022.0,10.8,-1986.0973
11,7,10,806057,35025.0,10.8,231.7318
11,7,10,817911,35037.0,10.8,1012.3165
11,7,10,826033,35027.0,10.8,-1231.2238
11,7,10,838190,35038.0,10.8,904.8285
11,7,10,847208,35027.0,10.8,-1219.7827
11,7,10,859222,35028.0,10.9,83.2362
11,7,10,867165,35047.0,10.9,2392.0433
11,7,10,879088,35032.0,10.9,-1258.0726
11,7,10,891981,35057.0,10.9,1939.0367
11,7,10,900004,35032.0,10.9,-3116.0414
11,7,10,912156,35044.0,10.9,987.4918
11,7,10,920772,35035.0,10.9,-1044.5682
11,7,10,933047,35026.0,10.9,-733.1976
11,7,10,941083,35041.0,10.9,1866.6003
11,7,10,953085,35035.0,11.0,-499.9167
11,7,10,965083,35033.0,11.0,-166.6944
11,7,10,973034,35037.0,11.0,503.0814
11,7,10,985976,35041.0,11.0,309.0712
11,7,10,993957,35042.0,11.0,125.2976
11,7,11,6172,35041.0,11.0,-81.8666
11,7,11,14223,35068.0,11.0,3353.6207
11,7,11,27128,35070.0,11.0,154.9787
11,7,11,39092,35071.0,11.0,83.5841
11,7,11,47227,35098.0,11.0,3318.9920
11,7,11,60055,35098.0,11.1,0.0000
11,7,11,68001,35085.0,11.1,-1636.0433
11,7,11,80223,35091.0,11.1,490.9180
11,7,11,88233,35083.0,11.1,-998.7516
11,7,11,100046,35095.0,11.1,1015.8300
11,7,11,113095,35106.0,11.1,842.9765
11,7,11,121219,35105.0,11.1,-123.0921
11,7,11,133189,35093.0,11.1,-1002.5063
11,7,11,141212,35105.0,11.1,1495.6999
11,7,11,154113,35106.0,11.2,77.5134
11,7,11,162226,35104.0,11.2,-246.5179
11,7,11,174169,35097.0,11.2,-586.1174
11,7,11,186013,35106.0,11.2,759.8784
11,7,11,195213,35112.0,11.2,652.1739
11,7,11,207037,35122.0,11.2,845.7375
11,7,11,215196,35097.0,11.2,-3064.1010
11,7,11,227058,35082.0,11.2,-1264.5422
11,7,11,236099,35025.0,11.2,-6304.6123
11,7,11,248259,34795.0,11.2,-18914.4737
11,7,11,260111,34416.0,11.3,-31977.7253
11,7,11,268065,33776.0,11.3,-80462.6603
11,7,11,281044,33144.0,11.3,-48694.0442
11,7,11,289234,32702.0,11.3,-53968.2540
11,7,11,301225,32845.0,11.3,11925.6109
11,7,11,309054,32970.0,11.3,15966.2792
11,7,11,322212,33224.0,11.3,19303.8456
11,7,11,334035,33485.0,11.3,22075.6153
11,7,11,342115,33719.0,11.3,28960.3960
11,7,11,354002,33904.0,11.4,15563.2203
11,7,11,363225,34076.0,11.4,18649.0296
11,7,11,375081,34239.0,11.4,13748.3131
11,7,11,383063,34361.0,11.4,15284.3899
11,7,11,395118,34441.0,11.4,6636.2505
11,7,11,408099,34507.0,11.4,5084.3541
11,7,11,416106,34582.0,11.4,9366.8040
11,7,11,428185,34662.0,11.4,6623.0648
11,7,11,436122,34718.0,11.4,7055.5626
11,7,11,449071,34754.0,11.4,2780.1375
11,7,11,456992,34792.0,11.5,4797.3741
11,7,11,468994,34829.0,11.5,3082.8195
11,7,11,480988,34863.0,11.5,2834.7507
11,7,11,490211,34887.0,11.5,2602.1902
11,7,11,502143,34908.0,11.5,1759.9732
11,7,11,510197,34928.0,11.5,2483.2381
11,7,11,522194,34951.0,11.5,1917.1460
11,7,11,531010,34966.0,11.5,1701.4519
11,7,11,543213,34978.0,11.5,983.3647
11,7,11,554965,34979.0,11.6,85.0919
11,7,11,563032,34953.0,11.6,-3223.0073
11,7,11,576075,34963.0,11.6,766.6948
11,7,11,584042,34965.0,11.6,251.0355
11,7,11,596259,34974.0,11.6,736.6784
11,7,11,603968,34984.0,11.6,1297.1851
11,7,11,617237,34980.0,11.6,-301.4545
11,7,11,628904,34993.0,11.6,1114.2539
11,7,11,637054,34993.0,11.6,0.0000
11,7,11,649308,34997.0,11.6,326.4240
11,7,11,657200,35007.0,11.7,1267.1059
11,7,11,670197,35012.0,11.7,384.7042
11,7,11,678045,35008.0,11.7,-509.6840
11,7,11,690095,35004.0,11.7,-331.9502
11,7,11,703059,35011.0,11.7,539.9568
11,7,11,711021,35017.0,11.7,753.5795
11,7,11,723186,35009.0,11.7,-657.6243
11,7,11,730983,35010.0,11.7,128.2545
11,7,11,744070,35016.0,11.7,458.4702
11,7,11,752103,35012.0,11.8,-497.9460
11,7,11,764194,35012.0,11.8,0.0000
11,7,11,775992,35015.0,11.8,254.2804
11,7,11,783989,35018.0,11.8,375.1407
11,7,11,797073,35018.0,11.8,0.0000
11,7,11,805196,35013.0,11.8,-615.5361
11,7,11,817090,35020.0,11.8,588.5320
11,7,11,825181,35027.0,11.8,865.1588
11,7,11,838275,35025.0,11.8,-152.7417
11,7,11,849974,35023.0,11.8,-170.9548
11,7,11,858204,35023.0,11.9,0.0000
11,7,11,870200,35023.0,11.9,0.0000
11,7,11,879043,35026.0,11.9,339.2514
11,7,11,891061,35022.0,11.9,-332.8341
11,7,11,899061,35020.0,11.9,-250.0000
11,7,11,911196,35034.0,11.9,1153.6877
11,7,11,924110,35048.0,11.9,1084.0948
11,7,11,932190,35049.0,11.9,123.7624
11,7,11,944073,35046.0,11.9,-252.4615
11,7,11,952366,35047.0,12.0,120.5836
11,7,11,965256,35050.0,12.0,232.7386
11,7,11,973051,35052.0,12.0,256.5747
11,7,11,985089,35057.0,12.0,415.3514
11,7,11,997030,35064.0,12.0,586.2156
11,7,12,6019,35061.0,12.0,-333.7412
11,7,12,18094,35062.0,12.0,82.8157
11,7,12,26248,35061.0,12.0,-122.6392
11,7,12,38207,35058.0,12.0,-250.8571
11,7,12,50984,35062.0,12.1,313.0625
11,7,12,59205,35134.0,12.1,8758.0586
11,7,12,70981,35077.0,12.1,-4840.3533
11,7,12,78999,35067.0,12.1,-1247.1938
11,7,12,92052,35062.0,12.1,-383.0537
11,7,12,100210,35062.0,12.1,0.0000
11,7,12,112184,35057.0,12.1,-417.5714
11,7,12,123988,35069.0,12.1,1016.6045
11,7,12,133185,35057.0,12.1,-1304.7733
11,7,12,144962,35069.0,12.1,1018.9352
11,7,12,153073,35075.0,12.2,739.7362
11,7,12,165188,35061.0,12.2,-1155.5922
11,7,12,174001,35054.0,12.2,-794.2812
11,7,12,186108,35063.0,12.2,743.3716
11,7,12,197988,35059.0,12.2,-336.7003
11,7,12,206042,35064.0,12.2,620.8095
11,7,12,219093,35057.0,12.2,-536.3574
11,7,12,227203,35060.0,12.2,369.9137
11,7,12,239011,35053.0,12.2,-592.8184
11,7,12,247511,35059.0,12.2,705.8824
11,7,12,260160,35065.0,12.3,474.3458
11,7,12,271933,35055.0,12.3,-849.4012
11,7,12,280177,35068.0,12.3,1576.9044
11,7,12,292072,35066.0,12.3,-168.1379
11,7,12,301051,35063.0,12.3,-334.1129
11,7,12,313199,35071.0,12.3,658.5446
11,7,12,321014,35050.0,12.3,-2687.1401
11,7,12,333225,35061.0,12.3,900.8271
11,7,12,345998,35064.0,12.3,234.8704
11,7,12,353942,35054.0,12.4,-1258.8117
11,7,12,366210,35053.0,12.4,-81.5129
11,7,12,374009,35058.0,12.4,641.1078
11,7,12,387182,35066.0,12.4,607.3028
11,7,12,395039,35062.0,12.4,-509.1002
11,7,12,407095,35061.0,12.4,-82.9463
11,7,12,418986,35066.0,12.4,420.4861
11,7,12,428204,35069.0,12.4,325.4502
11,7,12,439945,35063.0,12.4,-511.0297
11,7,12,448016,35069.0,12.4,743.4023
11,7,12,460077,35077.0,12.5,663.2949
11,7,12,468328,35061.0,12.5,-1939.1589
11,7,12,481083,35066.0,12.5,392.0031
11,7,12,492967,35066.0,12.5,0.0000
11,7,12,501162,35074.0,12.5,976.2050
11,7,12,514072,35062.0,12.5,-929.5120
11,7,12,522181,35073.0,12.5,1356.5174
11,7,12,534183,35081.0,12.5,666.5556
11,7,12,542167,35065.0,12.5,-2004.0080
11,7,12,553977,35071.0,12.6,508.0440
11,7,12,566882,35061.0,12.6,-774.8935
11,7,12,575009,35067.0,12.6,738.2798
11,7,12,586977,34987.0,12.6,-6684.4920
11,7,12,594900,34791.0,12.6,-24738.1043
11,7,12,608053,34486.0,12.6,-23188.6262
11,7,12,615976,33928.0,12.6,-70427.8682
11,7,12,628091,33308.0,12.6,-51176.2278
11,7,12,639963,33025.0,12.6,-23837.6011
11,7,12,649291,33074.0,12.6,5253.0017
11,7,12,660985,33294.0,12.7,18813.0665
11,7,12,669063,33493.0,12.7,24634.8106
11,7,12,681062,33682.0,12.7,15751.3126
11,7,12,690177,33868.0,12.7,20405.9243
11,7,12,702169,34036.0,12.7,14009.3396
11,7,12,713974,34184.0,12.7,12537.0606
11,7,12,722184,34276.0,12.7,11205.8465
11,7,12,735026,34378.0,12.7,7942.6881
11,7,12,743016,34428.0,12.7,6257.8223
11,7,12,755077,34494.0,12.8,5472.1831
11,7,12,763045,34575.0,12.8,10165.6627
11,7,12,776068,34639.0,12.8,4914.3822
11,7,12,787965,34689.0,12.8,4202.7402
11,7,12,796026,34714.0,12.8,3101.3522
11,7,12,808266,34772.0,12.8,4738.5621
11,7,12,817027,34817.0,12.8,5136.4000
11,7,12,829175,34848.0,12.8,2551.8604
11,7,12,837171,34886.0,12.8,4752.3762
11,7,12,849064,34888.0,12.8,168.1661
11,7,12,861840,34918.0,12.9,2348.1528
11,7,12,870043,34938.0,12.9,2438.1324
11,7,12,882089,34948.0,12.9,830.1511
11,7,12,890013,34963.0,12.9,1892.9833
11,7,12,903045,34966.0,12.9,230.2026
11,7,12,911121,34958.0,12.9,-990.5894
11,7,12,923070,34971.0,12.9,1087.9572
11,7,12,934911,34972.0,12.9,84.4523
11,7,12,944181,34985.0,12.9,1402.3732
11,7,12,956108,34961.0,13.0,-2012.2411
11,7,12,964023,34985.0,13.0,3032.2173
11,7,12,976178,34982.0,13.0,-246.8120
11,7,12,985007,34984.0,13.0,226.5262
11,7,12,996956,34985.0,13.0,83.6890
11,7,13,8812,34996.0,13.0,927.8003
11,7,13,17056,34990.0,13.0,-727.8020
11,7,13,30137,34993.0,13.0,229.3403
11,7,13,38010,34996.0,13.0,381.0492
11,7,13,50170,34992.0,13.1,-328.9474
11,7,13,58008,34990.0,13.1,-255.1671
11,7,13,71066,35002.0,13.1,918.9769
11,7,13,82843,34998.0,13.1,-339.6451
11,7,13,91031,34996.0,13.1,-244.2599
11,7,13,102992,34995.0,13.1,-83.6050
11,7,13,112170,35002.0,13.1,762.6934
11,7,13,124026,35000.0,13.1,-168.6910
11,7,13,132096,35003.0,13.1,371.7472
11,7,13,144174,35002.0,13.1,-82.7952
11,7,13,157022,35009.0,13.2,544.8319
11,7,13,165010,35007.0,13.2,-250.3756
11,7,13,177080,35021.0,13.2,1159.9006
11,7,13,185038,35018.0,13.2,-376.9791
11,7,13,198175,35016.0,13.2,-152.2418
11,7,13,206004,35022.0,13.2,766.3814
11,7,13,218161,35025.0,13.2,246.7714
11,7,13,230012,35026.0,13.2,84.3811
11,7,13,238186,35031.0,13.2,611.6956
11,7,13,251001,35029.0,13.3,-156.0671
11,7,13,259171,35033.0,13.3,489.5961
11,7,13,271067,35023.0,13.3,-840.6187
11,7,13,279011,35026.0,13.3,377.6435
