Hour,Minute,Second,Microsecond,IR1,4 blinks
17,56,8,870662,37792,8.9
17,56,8,878700,37766,8.9
17,56,8,890776,37757,8.9
17,56,8,899643,37728,8.9
17,56,8,911945,37689,8.9
17,56,8,919654,37657,8.9
17,56,8,931724,37622,8.9
17,56,8,944536,37595,8.9
17,56,8,952598,37540,9.0
17,56,8,964773,37496,9.0
17,56,8,972643,37478,9.0
17,56,8,985692,37489,9.0
17,56,8,993598,37478,9.0
17,56,9,5615,37470,9.0
17,56,9,17695,37454,9.0
17,56,9,26731,37458,9.0
17,56,9,38766,37442,9.0
17,56,9,46774,37432,9.0
17,56,9,58919,37449,9.1
17,56,9,67638,37420,9.1
17,56,9,79708,37419,9.1
17,56,9,91684,37401,9.1
17,56,9,99626,37392,9.1
17,56,9,112723,37374,9.1
17,56,9,120800,37379,9.1
17,56,9,132684,37372,9.1
17,56,9,140803,37360,9.1
17,56,9,153668,37349,9.2
17,56,9,165690,37340,9.2
17,56,9,173804,37343,9.2
17,56,9,185654,37291,9.2
17,56,9,193680,37239,9.2
17,56,9,206821,37238,9.2
17,56,9,214756,37263,9.2
17,56,9,226585,37251,9.2
17,56,9,238674,37254,9.2
17,56,9,247792,37264,9.2
17,56,9,259584,37269,9.3
17,56,9,267818,37251,9.3
17,56,9,279643,37256,9.3
17,56,9,288703,37259,9.3
17,56,9,300821,37245,9.3
17,56,9,312607,37260,9.3
17,56,9,320833,37257,9.3
17,56,9,333782,37242,9.3
17,56,9,341647,37238,9.3
17,56,9,353683,37259,9.4
17,56,9,361606,37258,9.4
17,56,9,374808,37260,9.4
17,56,9,386552,37268,9.4
17,56,9,394675,37265,9.4
17,56,9,406819,37261,9.4
17,56,9,415930,37263,9.4
17,56,9,427629,37246,9.4
17,56,9,435594,37248,9.4
17,56,9,447580,37251,9.4
17,56,9,460479,37252,9.5
17,56,9,468572,37253,9.5
17,56,9,480589,37253,9.5
17,56,9,488597,37259,9.5
17,56,9,501589,37262,9.5
17,56,9,509598,37265,9.5
17,56,9,521809,37266,9.5
17,56,9,533704,37274,9.5
17,56,9,542652,37265,9.5
17,56,9,554815,37264,9.6
17,56,9,562813,37265,9.6
17,56,9,574817,37271,9.6
17,56,9,583636,37263,9.6
17,56,9,595686,37268,9.6
17,56,9,607582,37273,9.6
17,56,9,615806,37295,9.6
17,56,9,628816,37326,9.6
17,56,9,636662,37360,9.6
17,56,9,648830,37317,9.6
17,56,9,656654,37294,9.7
17,56,9,669922,37295,9.7
17,56,9,681729,37293,9.7
17,56,9,689624,37293,9.7
17,56,9,701823,37300,9.7
17,56,9,710639,37285,9.7
17,56,9,722817,37280,9.7
17,56,9,730692,37272,9.7
17,56,9,742553,37269,9.7
17,56,9,755711,37278,9.8
17,56,9,763674,37275,9.8
17,56,9,775797,37268,9.8
17,56,9,783621,37274,9.8
17,56,9,796617,37275,9.8
17,56,9,804657,37271,9.8
17,56,9,816797,37268,9.8
17,56,9,828708,37261,9.8
17,56,9,837577,37258,9.8
17,56,9,849666,37261,9.8
17,56,9,857797,37260,9.9
17,56,9,869798,37254,9.9
17,56,9,878629,37255,9.9
17,56,9,890698,37261,9.9
17,56,9,902712,37261,9.9
17,56,9,910622,37255,9.9
17,56,9,923791,37254,9.9
17,56,9,931788,37251,9.9
17,56,9,943636,37243,9.9
17,56,9,955600,37240,10.0
17,56,9,963783,37239,10.0
17,56,9,976698,37241,10.0
17,56,9,984627,37259,10.0
17,56,9,996655,37260,10.0
17,56,10,4596,37254,10.0
17,56,10,17735,37264,10.0
17,56,10,29437,37277,10.0
17,56,10,37783,37286,10.0
17,56,10,50558,37284,10.1
17,56,10,58823,37286,10.1
17,56,10,70634,37284,10.1
17,56,10,78795,37281,10.1
17,56,10,90801,37299,10.1
17,56,10,103594,37336,10.1
17,56,10,111637,37334,10.1
17,56,10,123604,37298,10.1
17,56,10,131793,37280,10.1
17,56,10,144697,37266,10.1
17,56,10,152667,37250,10.2
17,56,10,164612,37236,10.2
17,56,10,176580,37233,10.2
17,56,10,185632,37232,10.2
17,56,10,197575,37227,10.2
17,56,10,205608,37211,10.2
17,56,10,217632,37210,10.2
17,56,10,226791,37212,10.2
17,56,10,238697,37200,10.2
17,56,10,250447,37199,10.3
17,56,10,258537,37188,10.3
17,56,10,271703,37187,10.3
17,56,10,279513,37201,10.3
17,56,10,291784,37194,10.3
17,56,10,299774,37185,10.3
17,56,10,312779,37185,10.3
17,56,10,324500,37178,10.3
17,56,10,332758,37191,10.3
17,56,10,344575,37187,10.3
17,56,10,353621,37085,10.4
17,56,10,365798,37012,10.4
17,56,10,373631,37030,10.4
17,56,10,385793,37059,10.4
17,56,10,398595,37070,10.4
17,56,10,406595,37084,10.4
17,56,10,418717,37090,10.4
17,56,10,426629,37106,10.4
17,56,10,439794,37114,10.4
17,56,10,447626,37122,10.4
17,56,10,459572,37134,10.5
17,56,10,471642,37138,10.5
17,56,10,480631,37144,10.5
17,56,10,492731,37148,10.5
17,56,10,500602,37154,10.5
17,56,10,512664,37161,10.5
17,56,10,521798,37146,10.5
17,56,10,533905,37123,10.5
17,56,10,545531,37121,10.5
17,56,10,553614,37162,10.6
17,56,10,566736,37189,10.6
17,56,10,574627,37296,10.6
17,56,10,586794,37455,10.6
17,56,10,594630,37488,10.6
17,56,10,607873,37631,10.6
17,56,10,619437,37703,10.6
17,56,10,627572,37834,10.6
17,56,10,639732,37864,10.6
17,56,10,647779,37847,10.6
17,56,10,660709,37803,10.7
17,56,10,668632,37761,10.7
17,56,10,680789,37700,10.7
17,56,10,693580,37665,10.7
17,56,10,701633,37619,10.7
17,56,10,713605,37614,10.7
17,56,10,721679,37602,10.7
17,56,10,734800,37507,10.7
17,56,10,742671,37556,10.7
17,56,10,754775,37564,10.8
17,56,10,766449,37417,10.8
17,56,10,774518,37731,10.8
17,56,10,787486,37937,10.8
17,56,10,795516,38086,10.8
17,56,10,807532,38150,10.8
17,56,10,815558,38121,10.8
17,56,10,828551,38001,10.8
17,56,10,840428,37847,10.8
17,56,10,848533,37705,10.8
17,56,10,860590,37638,10.9
17,56,10,869581,37590,10.9
17,56,10,881766,37520,10.9
17,56,10,889695,37378,10.9
17,56,10,901564,37248,10.9
17,56,10,914497,37220,10.9
17,56,10,922656,37081,10.9
17,56,10,934736,36893,10.9
17,56,10,942764,36792,10.9
17,56,10,955634,36696,11.0
17,56,10,963662,36651,11.0
17,56,10,975756,36603,11.0
17,56,10,987615,36546,11.0
17,56,10,996604,36484,11.0
17,56,11,8546,36416,11.0
17,56,11,16647,36377,11.0
17,56,11,28602,36304,11.0
17,56,11,37666,36033,11.0
17,56,11,49773,35434,11.0
17,56,11,61697,34719,11.1
17,56,11,69603,34121,11.1
17,56,11,82738,33682,11.1
17,56,11,90624,33395,11.1
17,56,11,102774,33138,11.1
17,56,11,110762,32964,11.1
17,56,11,123652,32829,11.1
17,56,11,136071,32622,11.1
17,56,11,143641,32418,11.1
17,56,11,155575,32125,11.2
17,56,11,164563,31911,11.2
17,56,11,176617,31802,11.2
17,56,11,184562,31711,11.2
17,56,11,196757,31532,11.2
17,56,11,209652,31404,11.2
17,56,11,217606,31346,11.2
17,56,11,229572,31270,11.2
17,56,11,237640,31091,11.2
17,56,11,250771,31064,11.3
17,56,11,258607,31043,11.3
17,56,11,270744,31094,11.3
17,56,11,282458,31175,11.3
17,56,11,291574,31262,11.3
17,56,11,303707,31349,11.3
17,56,11,311644,31458,11.3
17,56,11,323675,31564,11.3
17,56,11,332552,31667,11.3
17,56,11,344726,31756,11.3
17,56,11,356610,31852,11.4
17,56,11,364572,31944,11.4
17,56,11,377618,32036,11.4
17,56,11,385605,32135,11.4
17,56,11,397777,32215,11.4
17,56,11,405760,32270,11.4
17,56,11,418612,32292,11.4
17,56,11,430659,32320,11.4
17,56,11,438756,32363,11.4
17,56,11,450542,32427,11.5
17,56,11,458558,32496,11.5
17,56,11,471773,32559,11.5
17,56,11,479598,32619,11.5
17,56,11,491677,32655,11.5
17,56,11,504653,32700,11.5
17,56,11,512771,32746,11.5
17,56,11,524728,32744,11.5
17,56,11,532662,32569,11.5
17,56,11,544766,32294,11.5
17,56,11,553775,33308,11.6
