Y:D:M,H:M:S,Seconds,IR1
2015:1:3,10:54:0.251,0.251,38889.0
2015:1:3,10:54:0.263,0.263,38895.0
2015:1:3,10:54:0.276,0.27599999999999997,38909.0
2015:1:3,10:54:0.284,0.284,38926.0
2015:1:3,10:54:0.296,0.296,38937.0
2015:1:3,10:54:0.304,0.304,38945.0
2015:1:3,10:54:0.317,0.317,38944.0
2015:1:3,10:54:0.325,0.325,38961.0
2015:1:3,10:54:0.337,0.33699999999999997,38950.0
2015:1:3,10:54:0.349,0.349,38943.0
2015:1:3,10:54:0.358,0.358,38939.0
2015:1:3,10:54:0.37,0.37,38940.0
2015:1:3,10:54:0.378,0.378,38947.0
2015:1:3,10:54:0.39,0.38999999999999996,38931.0
2015:1:3,10:54:0.403,0.40299999999999997,38935.0
2015:1:3,10:54:0.411,0.411,38921.0
2015:1:3,10:54:0.423,0.423,38901.0
2015:1:3,10:54:0.431,0.431,38901.0
2015:1:3,10:54:0.444,0.444,38886.0
2015:1:3,10:54:0.452,0.45199999999999996,38888.0
2015:1:3,10:54:0.474,0.474,38883.0
2015:1:3,10:54:0.479,0.479,38883.0
2015:1:3,10:54:0.485,0.485,38869.0
2015:1:3,10:54:0.497,0.497,38883.0
2015:1:3,10:54:0.505,0.505,38900.0
2015:1:3,10:54:0.517,0.517,38882.0
2015:1:3,10:54:0.526,0.526,38875.0
2015:1:3,10:54:0.538,0.5379999999999999,38865.0
2015:1:3,10:54:0.55,0.5499999999999999,38889.0
2015:1:3,10:54:0.558,0.5579999999999999,38911.0
2015:1:3,10:54:0.571,0.571,38919.0
2015:1:3,10:54:0.579,0.579,38928.0
2015:1:3,10:54:0.591,0.591,38925.0
2015:1:3,10:54:0.599,0.599,38927.0
2015:1:3,10:54:0.612,0.612,38920.0
2015:1:3,10:54:0.624,0.624,38942.0
2015:1:3,10:54:0.632,0.632,38939.0
2015:1:3,10:54:0.644,0.644,38921.0
2015:1:3,10:54:0.652,0.652,38933.0
2015:1:3,10:54:0.665,0.6649999999999999,38941.0
2015:1:3,10:54:0.673,0.6729999999999999,38935.0
2015:1:3,10:54:0.685,0.6849999999999999,38938.0
2015:1:3,10:54:0.698,0.698,38938.0
2015:1:3,10:54:0.706,0.706,38949.0
2015:1:3,10:54:0.718,0.718,38968.0
2015:1:3,10:54:0.726,0.726,38981.0
2015:1:3,10:54:0.738,0.738,38985.0
2015:1:3,10:54:0.747,0.747,38998.0
2015:1:3,10:54:0.759,0.759,39010.0
2015:1:3,10:54:0.771,0.771,39023.0
2015:1:3,10:54:0.779,0.7789999999999999,39030.0
2015:1:3,10:54:0.792,0.7919999999999999,39049.0
2015:1:3,10:54:0.8,0.7999999999999999,39072.0
2015:1:3,10:54:0.812,0.8119999999999999,39087.0
2015:1:3,10:54:0.82,0.82,39088.0
2015:1:3,10:54:0.833,0.833,39097.0
2015:1:3,10:54:0.845,0.845,39122.0
2015:1:3,10:54:0.853,0.853,39121.0
2015:1:3,10:54:0.865,0.865,39082.0
2015:1:3,10:54:0.874,0.874,38909.0
2015:1:3,10:54:0.886,0.886,38442.0
2015:1:3,10:54:0.894,0.8939999999999999,37126.0
2015:1:3,10:54:0.906,0.9059999999999999,36069.0
2015:1:3,10:54:0.919,0.9189999999999999,35400.0
2015:1:3,10:54:0.927,0.9269999999999999,35952.0
2015:1:3,10:54:0.939,0.939,36729.0
2015:1:3,10:54:0.947,0.947,37035.0
2015:1:3,10:54:0.96,0.96,37287.0
2015:1:3,10:54:0.968,0.968,37703.0
2015:1:3,10:54:0.987,0.987,38052.0
2015:1:3,10:54:0.992,0.992,38284.0
2015:1:3,10:54:1.001,1.001,38496.0
2015:1:3,10:54:1.013,1.013,38676.0
2015:1:3,10:54:1.021,1.021,38802.0
2015:1:3,10:54:1.033,1.033,38894.0
2015:1:3,10:54:1.042,1.042,38941.0
2015:1:3,10:54:1.054,1.054,38956.0
2015:1:3,10:54:1.066,1.066,38963.0
2015:1:3,10:54:1.074,1.074,38983.0
2015:1:3,10:54:1.087,1.087,38984.0
2015:1:3,10:54:1.095,1.095,38985.0
2015:1:3,10:54:1.107,1.107,38981.0
2015:1:3,10:54:1.115,1.115,38965.0
2015:1:3,10:54:1.128,1.1280000000000001,38965.0
2015:1:3,10:54:1.14,1.14,38971.0
2015:1:3,10:54:1.148,1.148,38973.0
2015:1:3,10:54:1.16,1.16,38974.0
2015:1:3,10:54:1.169,1.169,38980.0
2015:1:3,10:54:1.181,1.181,38982.0
2015:1:3,10:54:1.189,1.189,38990.0
2015:1:3,10:54:1.201,1.201,39001.0
2015:1:3,10:54:1.214,1.214,38994.0
2015:1:3,10:54:1.222,1.222,38986.0
2015:1:3,10:54:1.234,1.234,38989.0
2015:1:3,10:54:1.242,1.242,38992.0
2015:1:3,10:54:1.255,1.255,38993.0
2015:1:3,10:54:1.263,1.263,38990.0
2015:1:3,10:54:1.275,1.275,38982.0
2015:1:3,10:54:1.287,1.287,38971.0
2015:1:3,10:54:1.296,1.296,38963.0
2015:1:3,10:54:1.308,1.308,38963.0
2015:1:3,10:54:1.316,1.316,38964.0
2015:1:3,10:54:1.328,1.3279999999999998,38960.0
2015:1:3,10:54:1.336,1.3359999999999999,38952.0
2015:1:3,10:54:1.349,1.349,38954.0
2015:1:3,10:54:1.361,1.361,38969.0
2015:1:3,10:54:1.369,1.369,38983.0
2015:1:3,10:54:1.382,1.3820000000000001,38988.0
2015:1:3,10:54:1.39,1.39,38997.0
2015:1:3,10:54:1.402,1.402,38999.0
2015:1:3,10:54:1.41,1.41,38990.0
2015:1:3,10:54:1.422,1.422,38985.0
2015:1:3,10:54:1.435,1.435,38990.0
2015:1:3,10:54:1.443,1.443,39003.0
2015:1:3,10:54:1.455,1.455,39002.0
2015:1:3,10:54:1.463,1.463,38990.0
2015:1:3,10:54:1.476,1.476,38992.0
2015:1:3,10:54:1.498,1.498,38998.0
2015:1:3,10:54:1.503,1.5030000000000001,39002.0
2015:1:3,10:54:1.508,1.508,38994.0
2015:1:3,10:54:1.517,1.517,38943.0
2015:1:3,10:54:1.529,1.529,38730.0
2015:1:3,10:54:1.537,1.537,38106.0
2015:1:3,10:54:1.549,1.549,37120.0
2015:1:3,10:54:1.558,1.5579999999999998,36003.0
2015:1:3,10:54:1.57,1.5699999999999998,35317.0
2015:1:3,10:54:1.582,1.5819999999999999,35704.0
2015:1:3,10:54:1.59,1.5899999999999999,36434.0
2015:1:3,10:54:1.603,1.603,36770.0
2015:1:3,10:54:1.611,1.611,37060.0
2015:1:3,10:54:1.623,1.623,37441.0
2015:1:3,10:54:1.631,1.631,37771.0
2015:1:3,10:54:1.644,1.6440000000000001,38021.0
2015:1:3,10:54:1.656,1.656,38243.0
2015:1:3,10:54:1.664,1.664,38437.0
2015:1:3,10:54:1.676,1.676,38588.0
2015:1:3,10:54:1.685,1.685,38699.0
2015:1:3,10:54:1.697,1.697,38759.0
2015:1:3,10:54:1.705,1.705,38795.0
2015:1:3,10:54:1.717,1.717,38816.0
2015:1:3,10:54:1.742,1.742,38830.0
