AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2858,-0.1551,0.9197,-0.2476,0.7607,0.335,-3.29,1.75,-10.0012,0,0,0
-0.2879,-0.1549,0.9163,-0.2488,0.7623,0.3336,-3.535,1.2687,-9.7912,0,0,0
-0.2887,-0.1545,0.9165,-0.2488,0.7623,0.3336,-3.7975,1.085,-10.1675,0,0,0
-0.2876,-0.1543,0.9167,-0.2491,0.7625,0.3309,-3.2462,1.5225,-10.6138,0,0,0
-0.2896,-0.1539,0.9184,-0.251,0.7626,0.3348,-3.8063,2.065,-10.5875,0,0,0
-0.285,-0.1558,0.9125,-0.251,0.7626,0.3348,-3.9025,1.2163,-9.52,0,0,0
-0.2881,-0.153,0.9179,-0.2487,0.7606,0.3339,-3.535,1.1725,-9.6687,0,0,0
-0.2835,-0.1554,0.9224,-0.2487,0.7606,0.3339,-3.7275,1.19,-10.1062,0,0,0
-0.2874,-0.1556,0.9186,-0.2497,0.7632,0.3381,-3.5,1.0937,-10.4737,0,0,0
-0.2862,-0.1564,0.9172,-0.2479,0.7625,0.3354,-3.71,1.575,-10.3337,0,0,0
-0.2897,-0.1546,0.9193,-0.2479,0.7625,0.3354,-3.4475,0.9975,-9.94,0,0,0
-0.2866,-0.1545,0.9122,-0.2503,0.7618,0.3402,-3.3425,1.12,-10.01,0,0,0
-0.2846,-0.156,0.9212,-0.2503,0.7618,0.3402,-3.2638,1.3825,-10.0012,0,0,0
-0.2843,-0.1559,0.9146,-0.2493,0.7622,0.3382,-2.9925,1.1462,-10.4912,0,0,0
-0.2879,-0.1554,0.9165,-0.2514,0.7618,0.3352,-3.8238,1.6187,-10.325,0,0,0
-0.2858,-0.1558,0.9168,-0.2514,0.7618,0.3352,-3.85,1.5575,-10.2375,0,0,0
-0.2872,-0.1571,0.9156,-0.2486,0.7617,0.3366,-3.4475,1.1812,-10.1763,0,0,0
-0.2881,-0.1566,0.9134,-0.2486,0.7617,0.3366,-3.1588,1.33,-9.9225,0,0,0
-0.2881,-0.1563,0.9175,-0.252,0.7618,0.328,-3.1763,1.3825,-9.6862,0,0,0
-0.2852,-0.1542,0.9147,-0.2502,0.7619,0.3354,-3.6488,1.7587,-10.2462,0,0,0
-0.2862,-0.1564,0.9175,-0.2502,0.7619,0.3354,-3.0625,1.155,-9.6337,0,0,0
-0.2857,-0.1548,0.9198,-0.2502,0.7622,0.3343,-2.6688,1.5137,-10.2375,0,0,0
-0.2876,-0.1532,0.9238,-0.2502,0.7622,0.3343,-2.5988,1.0325,-10.2112,0,0,0
-0.2879,-0.1534,0.913,-0.2473,0.7628,0.3334,-3.85,1.2512,-10.0712,0,0,0
-0.284,-0.1565,0.9201,-0.2483,0.762,0.3342,-3.4913,1.4,-9.7737,0,0,0
-0.2854,-0.1576,0.9154,-0.2483,0.762,0.3342,-2.835,1.3387,-10.2987,0,0,0
-0.2883,-0.1551,0.9165,-0.2521,0.7606,0.3351,-2.9925,0.9538,-10.85,0,0,0
-0.2899,-0.154,0.9149,-0.2521,0.7606,0.3351,-3.3163,1.2075,-10.7012,0,0,0
-0.2865,-0.1548,0.9139,-0.251,0.7623,0.3325,-4.4975,1.6887,-10.01,0,0,0
-0.2866,-0.1552,0.919,-0.2501,0.7616,0.3359,-2.9225,1.7062,-9.275,0,0,0
-0.2864,-0.1541,0.9196,-0.2501,0.7616,0.3359,-3.4475,1.3737,-9.87,0,0,0
-0.2873,-0.1555,0.9173,-0.2478,0.7616,0.3354,-3.9638,1.05,-9.66,0,0,0
-0.2855,-0.1541,0.9127,-0.2478,0.7616,0.3354,-3.71,1.3562,-10.0012,0,0,0
-0.2879,-0.1554,0.9175,-0.2507,0.7613,0.3376,-3.6488,1.3212,-9.9575,0,0,0
-0.2866,-0.1559,0.9246,-0.2503,0.7618,0.336,-3.4125,1.6362,-9.835,0,0,0
-0.2867,-0.1557,0.9119,-0.2503,0.7618,0.336,-3.5875,1.6362,-11.0075,0,0,0
-0.2887,-0.1555,0.914,-0.2502,0.7617,0.3346,-3.8763,1.3825,-10.36,0,0,0
-0.2894,-0.1562,0.9168,-0.2502,0.7617,0.3346,-3.5525,1.1725,-9.6862,0,0,0
-0.2878,-0.1541,0.919,-0.2507,0.7619,0.3366,-3.5788,1.5575,-9.59,0,0,0
-0.2887,-0.1566,0.9192,-0.248,0.7621,0.3356,-3.0013,1.7937,-10.2987,0,0,0
-0.2887,-0.1573,0.9099,-0.248,0.7621,0.3356,-3.2813,1.6275,-10.78,0,0,0
-0.2868,-0.1549,0.9141,-0.253,0.762,0.3362,-3.395,0.9013,-10.1675,0,0,0
-0.2884,-0.1547,0.9217,-0.253,0.762,0.3362,-3.0625,1.0062,-9.8262,0,0,0
-0.2881,-0.1554,0.9156,-0.2497,0.7639,0.3422,-3.3425,1.0762,-9.9137,0,0,0
-0.2859,-0.1555,0.9153,-0.2498,0.7622,0.3355,-3.3163,1.505,-10.2637,0,0,0
-0.2889,-0.1548,0.917,-0.2498,0.7622,0.3355,-3.6925,1.6538,-10.5787,0,0,0
-0.2877,-0.1554,0.9188,-0.2486,0.7623,0.3366,-3.9113,1.6887,-10.57,0,0,0
-0.2891,-0.155,0.9213,-0.2486,0.7623,0.3366,-3.2987,1.1112,-10.9987,0,0,0
-0.2872,-0.1549,0.9137,-0.249,0.7618,0.3315,-4.0513,1.4,-10.4562,0,0,0
-0.2855,-0.1551,0.9168,-0.2502,0.7611,0.3344,-3.4563,1.6187,-10.1763,0,0,0
-0.2849,-0.1555,0.9235,-0.2502,0.7611,0.3344,-3.3863,1.715,-9.8087,0,0,0
-0.2885,-0.1544,0.9225,-0.2503,0.7605,0.3362,-3.255,1.3825,-9.695,0,0,0
