
31.109, 31.198
31.571, 31.643
32.031, 32.09
33.86, 33.945
34.268, 34.351
35.467, 35.561
36.861, 36.966
37.173, 37.244
37.684, 37.769
38.23, 38.282
38.906, 38.998
39.094, 39.138
39.631, 39.679
39.898, 39.996
40.161, 40.228
40.383, 40.438
40.737, 40.802
40.815, 40.951
41.204, 41.261
41.465, 41.531
43.633, 43.678
43.883, 43.972
44.129, 44.284
44.482, 44.549
45.143, 45.219
45.614, 45.682
46.095, 46.156
46.486, 46.573
47.967, 48.06
48.177, 48.255
48.558, 48.617
48.735, 48.8
49.197, 49.275
50.342, 50.388
50.442, 50.52
50.781, 50.859
51.514, 51.611
53.246, 53.295
57.681, 57.839
58.506, 58.561
59.411, 59.505
59.937, 0.013
0.218, 0.295
0.322, 0.424
0.842, 0.907
9.708, 9.78
9.841, 9.938
9.957, 10.016
10.338, 10.417
11.361, 11.42
11.605, 11.664
12.469, 12.535
12.641, 12.705
12.781, 12.845
