AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2833,-0.1766,0.9153,-0.2846,0.7598,0.4111,-3.08,1.19,-10.2025,0,0,0
-0.2829,-0.1779,0.9112,-0.2856,0.7618,0.413,-4.1825,1.4787,-10.2375,0,0,0
-0.2825,-0.1776,0.9104,-0.2856,0.7618,0.413,-4.1213,0.9538,-9.835,0,0,0
-0.2846,-0.1777,0.9131,-0.2817,0.7615,0.4132,-3.535,1.4437,-10.1763,0,0,0
-0.284,-0.1779,0.9167,-0.2817,0.7615,0.4132,-3.0363,1.3825,-10.2287,0,0,0
-0.2811,-0.1773,0.9172,-0.2805,0.7596,0.4146,-3.2813,1.1987,-10.01,0,0,0
-0.2854,-0.1767,0.9141,-0.2838,0.7601,0.4086,-3.2288,1.2337,-10.2812,0,0,0
-0.2868,-0.1759,0.918,-0.2838,0.7601,0.4086,-3.43,1.5837,-10.5,0,0,0
-0.285,-0.1769,0.9121,-0.2826,0.7602,0.4102,-4.1388,1.7062,-9.8262,0,0,0
-0.2839,-0.1776,0.9097,-0.2826,0.7602,0.4102,-3.9113,1.6625,-9.9137,0,0,0
-0.2826,-0.1765,0.9201,-0.2831,0.7614,0.4076,-2.9138,1.3825,-9.9488,0,0,0
-0.2834,-0.1778,0.9251,-0.2819,0.7598,0.414,-3.4038,1.1462,-10.3075,0,0,0
-0.2846,-0.177,0.9118,-0.2819,0.7598,0.414,-4.0075,1.3562,-9.7475,0,0,0
-0.2826,-0.1748,0.9109,-0.2806,0.759,0.4119,-3.2987,1.4,-9.9312,0,0,0
-0.282,-0.177,0.9155,-0.2806,0.759,0.4119,-2.8175,1.1987,-10.6225,0,0,0
-0.2825,-0.1761,0.9164,-0.2824,0.7597,0.4091,-3.2288,1.1287,-9.695,0,0,0
-0.2844,-0.1781,0.9113,-0.2838,0.7618,0.41,-2.9663,0.8575,-9.9663,0,0,0
-0.2856,-0.1774,0.9105,-0.2838,0.7618,0.41,-3.36,1.1987,-9.7825,0,0,0
-0.2854,-0.1779,0.9173,-0.2834,0.7596,0.4102,-3.4738,1.225,-9.9312,0,0,0
-0.2828,-0.1781,0.9179,-0.2834,0.7596,0.4102,-3.4913,1.3912,-10.185,0,0,0
-0.283,-0.177,0.9159,-0.2815,0.7616,0.4061,-3.29,0.7962,-9.6775,0,0,0
-0.2852,-0.1774,0.9152,-0.2815,0.7616,0.4144,-3.3425,1.575,-9.1875,0,0,0
-0.2844,-0.1761,0.9177,-0.2841,0.7588,0.4144,-3.185,1.82,-9.8437,0,0,0
-0.2842,-0.1782,0.9109,-0.2834,0.7592,0.4117,-2.38,1.2862,-10.1675,0,0,0
-0.2846,-0.1778,0.9162,-0.2834,0.7592,0.4117,-2.8963,1.26,-10.9987,0,0,0
-0.2816,-0.1758,0.9149,-0.2834,0.7618,0.41,-3.8325,0.9013,-9.8,0,0,0
-0.2838,-0.1768,0.9126,-0.2834,0.7618,0.41,-3.325,1.2163,-10.5875,0,0,0
-0.2837,-0.1788,0.914,-0.2847,0.7615,0.4066,-2.6075,1.435,-10.5787,0,0,0
-0.2847,-0.1788,0.913,-0.283,0.7614,0.4106,-3.22,1.295,-10.115,0,0,0
-0.2825,-0.1768,0.913,-0.283,0.7614,0.4106,-4.1038,1.5925,-10.1237,0,0,0
-0.285,-0.1781,0.9139,-0.2838,0.7595,0.411,-3.3688,1.0587,-10.0275,0,0,0
-0.2855,-0.1774,0.9134,-0.2838,0.7595,0.411,-3.465,1.2337,-10.0362,0,0,0
-0.2844,-0.1778,0.9186,-0.2822,0.7596,0.414,-3.5963,1.4525,-9.7212,0,0,0
-0.2848,-0.1786,0.9151,-0.2835,0.7612,0.4115,-2.8612,1.3212,-10.255,0,0,0
-0.2847,-0.1757,0.916,-0.2835,0.7612,0.4115,-2.8525,1.6712,-10.4912,0,0,0
-0.2868,-0.1754,0.9162,-0.2831,0.7592,0.4114,-3.0713,1.3912,-10.6312,0,0,0
-0.2844,-0.1775,0.9102,-0.2831,0.7592,0.4108,-3.675,1.5312,-9.94,0,0,0
