AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2716,-0.1981,0.9126,-0.1822,0.7326,0.3374,-3.2987,1.3912,-10.1237,0,0,0
-0.2713,-0.1973,0.9138,-0.1794,0.7342,0.3375,-2.9925,0.84,-10.6662,0,0,0
-0.2757,-0.1993,0.9096,-0.1794,0.7349,0.3382,-3.3338,0.9275,-10.4825,0,0,0
-0.2743,-0.1969,0.9124,-0.1808,0.7349,0.3382,-3.22,1.015,-9.8875,0,0,0
-0.273,-0.197,0.911,-0.1797,0.7326,0.3366,-3.4125,1.4175,-10.1237,0,0,0
-0.2747,-0.1976,0.9052,-0.1797,0.7326,0.3366,-3.045,1.19,-10.7275,0,0,0
-0.2772,-0.1993,0.9137,-0.1788,0.7331,0.3378,-3.6312,1.4262,-11.1212,0,0,0
-0.2786,-0.1993,0.9107,-0.1818,0.7332,0.3396,-4.2263,0.665,-10.4912,0,0,0
-0.2789,-0.1994,0.9105,-0.1818,0.7332,0.3396,-3.5875,0.945,-10.4912,0,0,0
-0.2605,-0.1943,0.9185,-0.1806,0.7335,0.3373,-3.1325,1.1025,-11.1912,0,0,0
-0.2685,-0.1929,0.9101,-0.1806,0.7335,0.3373,-3.3425,1.365,-10.1937,0,0,0
-0.2823,-0.199,0.9082,-0.1794,0.7347,0.3394,-3.0975,1.7062,-10.2637,0,0,0
-0.28,-0.2058,0.9135,-0.1776,0.7324,0.3367,-3.7713,1.7675,-10.2112,0,0,0
-0.2752,-0.1976,0.9191,-0.1776,0.7324,0.3367,-3.3775,1.365,-10.8762,0,0,0
-0.279,-0.1985,0.9064,-0.1807,0.7336,0.3383,-3.3075,0.9363,-10.7362,0,0,0
-0.2826,-0.2055,0.9041,-0.1807,0.7336,0.3383,-3.3425,1.0062,-10.185,0,0,0
-0.276,-0.1992,0.92,-0.1798,0.7328,0.3427,-3.1238,1.4175,-10.7625,0,0,0
-0.2642,-0.1913,0.9119,-0.1783,0.7338,0.3344,-2.5813,1.2775,-10.6575,0,0,0
-0.2669,-0.1936,0.9165,-0.1783,0.7338,0.3344,-3.5,1.4262,-10.045,0,0,0
-0.2772,-0.2011,0.909,-0.1786,0.7342,0.3366,-3.1588,1.7762,-10.7712,0,0,0
-0.2767,-0.1944,0.9105,-0.1786,0.7342,0.3366,-2.975,0.98,-9.905,0,0,0
-0.2716,-0.1948,0.9153,-0.1805,0.7324,0.3415,-3.3425,1.6187,-10.4475,0,0,0
-0.2729,-0.1994,0.9121,-0.1809,0.7351,0.3406,-3.6925,1.6187,-10.2637,0,0,0
-0.2761,-0.2012,0.9123,-0.1809,0.7351,0.3406,-2.625,1.6362,-10.1587,0,0,0
-0.275,-0.1968,0.9157,-0.1801,0.7334,0.3385,-3.4825,1.3475,-10.7012,0,0,0
-0.2733,-0.1986,0.9128,-0.1801,0.7334,0.3385,-3.2987,0.9713,-10.8762,0,0,0
-0.2708,-0.1994,0.917,-0.1817,0.7338,0.3352,-3.0888,1.05,-10.6225,0,0,0
-0.2686,-0.195,0.9135,-0.1826,0.735,0.3415,-3.1675,1.4175,-10.4562,0,0,0
-0.2769,-0.1976,0.9134,-0.1826,0.735,0.3415,-3.395,1.645,-9.9663,0,0,0
-0.2761,-0.2004,0.9121,-0.1794,0.7339,0.3381,-3.4388,0.9625,-10.0275,0,0,0
-0.275,-0.1959,0.9157,-0.1794,0.7339,0.3381,-3.4825,1.47,-10.7537,0,0,0
-0.2718,-0.1952,0.911,-0.181,0.7342,0.3382,-2.9838,1.4875,-10.4912,0,0,0
-0.2757,-0.1993,0.9118,-0.1824,0.7321,0.3402,-3.1412,1.575,-10.99,0,0,0
-0.2777,-0.2002,0.9072,-0.1824,0.7321,0.3402,-3.43,1.0412,-10.255,0,0,0
-0.2696,-0.1954,0.9171,-0.1802,0.7331,0.3385,-3.0188,1.1287,-10.9987,0,0,0
