Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,54,32.075,18464.0,0,0
15,54,32.075,18464.0,0,0
15,54,32.075,18467.0,0,0
15,54,32.091,18444.0,0,0
15,54,32.091,18422.0,0,0
15,54,32.091,18419.0,0,0
15,54,32.091,18411.0,0,0
15,54,32.106,18382.0,0,0
15,54,32.106,18382.0,0,0
15,54,32.122,18398.0,0,0
15,54,32.122,18415.0,0,0
15,54,32.137,18438.0,0,0
15,54,32.137,18445.0,0,0
15,54,32.153,18437.0,0,0
15,54,32.153,18435.0,0,0
15,54,32.169,18418.0,0,0
15,54,32.169,18420.0,0,0
15,54,32.184,18406.0,0,0
15,54,32.184,18406.0,0,0
15,54,32.2,18432.0,0,0
15,54,32.2,18438.0,0,0
15,54,32.215,18452.0,0,0
15,54,32.215,18452.0,0,0
15,54,32.231,18441.0,0,0
15,54,32.231,18430.0,0,0
15,54,32.247,18419.0,0,0
15,54,32.247,18419.0,0,0
15,54,32.262,18412.0,0,0
15,54,32.262,18431.0,0,0
15,54,32.278,18438.0,0,0
15,54,32.278,18439.0,0,0
15,54,32.293,18442.0,0,0
15,54,32.293,18421.0,0,0
15,54,32.309,18401.0,0,0
15,54,32.309,18395.0,0,0
15,54,32.325,18389.0,0,0
15,54,32.325,18393.0,0,0
15,54,32.34,18388.0,0,0
15,54,32.34,18381.0,0,0
15,54,32.356,18379.0,0,0
15,54,32.356,18314.0,0,0
15,54,32.371,18138.0,0,0
15,54,32.371,17983.0,0,0
15,54,32.387,17983.0,0,0
15,54,32.387,17876.0,0,0
15,54,32.403,17794.0,0,0
15,54,32.403,17672.0,0,0
15,54,32.418,17672.0,0,0
15,54,32.418,17611.0,0,0
15,54,32.434,17554.0,0,0
15,54,32.434,17545.0,0,0
15,54,32.449,17545.0,0,0
15,54,32.465,17532.0,0,0
15,54,32.466,17559.0,0,0
15,54,32.466,17574.0,0,0
15,54,32.482,17577.0,0,0
15,54,32.497,17587.0,0,0
15,54,32.497,17590.0,0,0
15,54,32.513,17586.0,0,0
15,54,32.513,17601.0,0,0
15,54,32.528,17616.0,0,0
15,54,32.528,17648.0,0,0
15,54,32.544,17700.0,0,0
15,54,32.544,17733.0,0,0
15,54,32.56,17745.0,0,0
15,54,32.56,17754.0,0,0
15,54,32.575,17729.0,0,0
15,54,32.575,17733.0,0,0
15,54,32.591,17733.0,0,0
15,54,32.591,17743.0,0,0
15,54,32.606,17767.0,0,0
15,54,32.606,17794.0,0,0
15,54,32.622,17794.0,0,0
15,54,32.622,17798.0,0,0
15,54,32.638,17790.0,0,0
15,54,32.638,17782.0,0,0
15,54,32.653,17782.0,0,0
15,54,32.653,17780.0,0,0
15,54,32.669,17802.0,0,0
15,54,32.669,17861.0,0,0
15,54,32.684,17859.0,0,0
15,54,32.684,17856.0,0,0
15,54,32.7,17850.0,0,0
15,54,32.7,17854.0,0,0
15,54,32.716,17864.0,0,0
15,54,32.716,17875.0,0,0
15,54,32.731,17880.0,0,0
15,54,32.731,17886.0,0,0
15,54,32.747,17889.0,0,0
15,54,32.747,17891.0,0,0
15,54,32.762,17894.0,0,0
15,54,32.762,17903.0,0,0
15,54,32.778,17904.0,0,0
15,54,32.778,17904.0,0,0
15,54,32.794,17900.0,0,0
15,54,32.794,17884.0,0,0
15,54,32.809,17872.0,0,0
15,54,32.809,17872.0,0,0
15,54,32.825,17880.0,0,0
15,54,32.84,17859.0,0,0
15,54,32.84,17845.0,0,0
15,54,32.856,17845.0,0,0
15,54,32.856,17853.0,0,0
15,54,32.872,17857.0,0,0
15,54,32.872,17856.0,0,0
15,54,32.887,17859.0,0,0
15,54,32.887,17868.0,0,0
15,54,32.903,17884.0,0,0
15,54,32.903,17892.0,0,0
15,54,32.918,17886.0,0,0
15,54,32.918,17880.0,0,0
15,54,32.934,17867.0,0,0
15,54,32.934,17846.0,0,0
15,54,32.95,17844.0,0,0
15,54,32.95,17842.0,0,0
15,54,32.965,17829.0,0,0
15,54,32.965,17839.0,0,0
15,54,32.981,17851.0,0,0
15,54,32.981,17855.0,0,0
15,54,32.996,17862.0,0,0
15,54,32.996,17849.0,0,0
15,54,33.012,17840.0,0,0
15,54,33.012,17840.0,0,0
15,54,33.028,17836.0,0,0
15,54,33.028,17820.0,0,0
15,54,33.043,17825.0,0,0
15,54,33.043,17825.0,0,0
15,54,33.059,17832.0,0,0
15,54,33.059,17833.0,0,0
15,54,33.074,17830.0,0,0
15,54,33.074,17830.0,0,0
15,54,33.09,17831.0,0,0
15,54,33.09,17814.0,0,0
15,54,33.106,17822.0,0,0
15,54,33.106,17824.0,0,0
15,54,33.121,17830.0,0,0
15,54,33.121,17817.0,0,0
15,54,33.137,17812.0,0,0
15,54,33.152,17807.0,0,0
15,54,33.152,17802.0,0,0
15,54,33.168,17804.0,0,0
15,54,33.168,17776.0,0,0
15,54,33.184,17765.0,0,0
15,54,33.184,17762.0,0,0
15,54,33.199,17754.0,0,0
15,54,33.199,17748.0,0,0
15,54,33.215,17727.0,0,0
15,54,33.215,17727.0,0,0
15,54,33.23,17707.0,0,0
15,54,33.23,17689.0,0,0
15,54,33.246,17686.0,0,0
15,54,33.246,17686.0,0,0
15,54,33.262,17670.0,0,0
15,54,33.262,17657.0,0,0
15,54,33.277,17653.0,0,0
15,54,33.277,17653.0,0,0
15,54,33.293,17648.0,0,0
15,54,33.293,17646.0,0,0
15,54,33.308,17639.0,0,0
